employee_id,overtime_hrs,manager_changes,engagement,left_company
1,471.8,25.33,51,0
2,160.5,144.24,60,0
3,134.9,194.07,59,0
4,119.08,28.75,75,0
5,395.24,198.83,60,1
6,116.19,22.67,87,0
7,404.81,273.7,77,1
8,369.0,379.38,83,1
9,216.67,473.61,85,1
10,251.0,100.78,54,0
11,455.53,379.11,22,1
12,397.58,477.27,35,1
13,85.37,127.83,21,0
14,377.01,411.66,91,1
15,207.47,337.39,86,1
16,495.79,298.56,49,1
17,113.69,460.03,28,1
18,211.13,253.88,78,0
19,472.21,432.38,72,1
20,294.3,281.84,50,1
21,370.52,243.44,86,1
22,306.33,329.53,58,1
23,123.36,499.71,62,1
24,36.73,420.81,60,0
25,56.57,167.86,32,0
26,186.46,75.47,75,0
27,55.12,97.54,36,0
28,93.26,391.04,52,0
29,248.09,364.63,60,1
30,184.04,78.14,35,0
31,285.45,97.91,81,0
32,178.22,366.55,75,1
33,282.47,213.81,40,0
34,325.05,196.89,49,0
35,428.62,89.75,57,1
36,26.42,363.06,58,0
37,377.87,94.95,61,0
38,193.11,433.57,91,1
39,132.12,339.8,88,0
40,64.65,350.78,37,0
41,274.0,99.68,84,0
42,355.99,401.33,69,1
43,499.86,321.41,56,1
44,162.16,15.91,49,0
45,491.36,316.55,75,1
46,268.21,25.52,63,0
47,448.51,117.02,43,1
48,54.34,435.04,43,0
49,37.7,208.67,29,0
50,225.12,144.25,30,0
51,21.01,452.74,25,0
52,160.49,359.69,38,0
53,24.72,173.88,45,0
54,411.1,389.25,59,1
55,49.63,209.52,74,0
56,281.12,273.14,58,1
57,484.58,475.32,89,1
58,240.56,166.65,54,0
59,162.04,72.96,35,0
60,429.65,469.43,60,1
61,372.33,451.85,89,1
62,77.37,104.0,88,0
63,221.25,97.83,45,0
64,184.75,433.25,43,1
65,403.82,476.18,87,1
66,250.42,394.5,78,1
67,215.69,27.69,50,0
68,215.89,74.67,82,0
69,364.14,183.62,55,1
70,487.57,188.8,76,1
71,321.85,285.61,56,1
72,218.61,400.42,21,1
73,313.29,370.02,91,1
74,499.31,444.35,36,1
75,451.16,171.56,45,1
76,55.96,183.41,68,0
77,128.4,246.97,61,0
78,276.39,483.69,74,1
79,243.93,100.17,74,0
80,219.69,283.69,88,1
81,170.57,272.53,40,0
82,414.52,213.09,80,1
83,266.19,87.44,74,0
84,32.92,489.45,20,0
85,291.06,403.44,41,1
86,492.76,176.72,31,1
87,193.26,182.14,40,0
88,197.14,100.86,64,0
89,424.73,274.67,34,1
90,299.71,33.51,39,0
91,271.5,73.13,25,0
92,100.94,28.63,51,0
93,282.74,385.68,56,1
94,89.74,274.14,20,0
95,289.11,313.11,65,1
96,392.56,17.19,29,0
97,49.0,383.58,38,0
98,385.48,379.69,42,1
99,410.5,16.87,94,0
100,48.62,68.35,54,0
101,416.52,157.57,81,1
102,37.66,290.01,48,0
103,470.23,363.39,67,1
104,170.67,414.09,60,1
105,176.84,281.59,23,0
106,190.07,478.33,89,1
107,149.19,357.84,20,0
108,53.1,243.29,73,0
109,287.57,188.82,45,0
110,51.29,152.65,46,0
111,204.58,21.48,43,0
112,77.88,203.63,55,0
113,314.52,180.91,77,0
114,127.01,39.86,28,0
115,52.0,136.6,27,0
116,18.28,208.68,89,0
117,409.27,207.64,74,1
118,172.2,68.53,66,0
119,413.4,62.48,25,0
120,451.73,398.94,73,1
121,35.43,241.93,68,0
122,90.46,249.18,71,0
123,57.19,151.96,63,0
124,94.78,483.09,89,1
125,134.02,181.99,94,0
126,107.79,97.47,69,0
127,92.1,382.21,66,0
128,420.46,438.69,27,1
129,448.92,87.17,65,1
130,405.22,449.7,37,1
131,438.79,31.78,76,0
132,265.78,220.89,61,0
133,76.56,51.08,44,0
134,78.52,346.46,38,0
135,187.92,100.1,38,0
136,35.17,355.3,60,0
137,195.64,51.36,41,0
138,181.16,137.8,84,0
139,158.04,91.95,74,0
140,198.36,291.93,61,0
141,467.22,309.32,87,1
142,35.57,11.65,50,0
143,298.19,185.25,45,0
144,413.54,188.61,83,1
145,427.71,161.29,92,1
146,132.79,167.67,37,0
147,201.07,312.32,59,0
148,398.35,303.98,36,1
149,423.11,71.63,80,1
150,143.73,160.99,70,0
151,260.96,480.6,74,1
152,56.51,223.0,39,0
153,457.74,167.63,28,1
154,364.99,372.17,74,1
155,413.63,208.69,80,1
156,135.96,313.19,89,0
157,11.48,259.48,57,0
158,133.65,470.24,86,1
159,288.47,61.88,22,0
160,196.85,199.75,92,0
161,82.99,61.69,47,0
162,209.4,400.48,69,1
163,253.37,79.14,76,0
164,40.79,28.36,89,0
165,439.24,332.61,61,1
166,413.84,220.36,30,1
167,381.08,43.36,67,0
168,101.15,111.1,50,0
169,482.05,134.04,72,1
170,70.49,496.02,31,1
171,224.46,94.1,63,0
172,268.86,274.13,45,1
173,114.96,193.11,62,0
174,179.31,348.2,34,0
175,465.6,166.72,52,1
176,352.18,286.86,41,1
177,54.19,41.45,70,0
178,450.36,351.17,31,1
179,149.03,477.84,94,1
180,203.5,267.45,76,0
181,299.43,303.14,83,1
182,30.83,21.27,81,0
183,30.2,339.92,44,0
184,97.31,32.07,46,0
185,314.4,61.59,31,0
186,225.61,399.96,84,1
187,323.03,480.81,76,1
188,132.94,181.32,37,0
189,233.75,438.23,57,1
190,42.55,335.31,73,0
191,448.35,356.31,40,1
192,216.03,401.32,64,1
193,199.7,97.31,54,0
194,431.98,337.94,61,1
195,52.29,54.75,54,0
196,248.95,96.65,66,0
197,383.78,371.42,92,1
198,176.31,68.14,65,0
199,491.21,491.49,28,1
200,486.61,117.04,64,1
201,249.1,204.22,56,0
202,415.02,263.59,22,1
203,318.1,100.93,21,0
204,192.52,130.93,85,0
205,289.01,178.68,46,0
206,20.35,88.43,86,0
207,219.52,103.43,66,0
208,199.98,470.85,48,1
209,25.49,335.98,35,0
210,231.76,426.86,49,1
211,460.71,159.76,82,1
212,346.38,405.62,49,1
213,53.68,448.56,68,0
214,217.96,193.39,34,0
215,320.17,228.26,24,0
216,256.52,231.32,40,0
217,10.52,421.01,41,0
218,440.7,483.97,64,1
219,236.97,110.75,51,0
220,189.14,131.75,57,0
221,485.24,386.77,20,1
222,339.56,255.42,92,1
223,447.89,130.96,89,1
224,78.34,61.37,88,0
225,164.56,122.42,51,0
226,70.1,122.06,26,0
227,291.79,437.76,33,1
228,69.27,264.79,94,0
229,365.99,400.83,41,1
230,245.38,454.01,73,1
231,75.0,363.83,87,0
232,44.52,379.64,80,0
233,390.43,291.39,77,1
234,299.27,32.94,28,0
235,175.4,297.78,90,0
236,156.89,127.48,24,0
237,278.96,322.77,88,1
238,75.13,392.03,80,0
239,325.7,493.8,74,1
240,217.13,70.32,85,0
241,134.7,402.33,36,0
242,170.46,43.27,58,0
243,67.4,392.92,26,0
244,432.86,224.78,52,1
245,391.89,453.81,73,1
246,95.63,316.84,60,0
247,279.68,43.48,51,0
248,51.58,90.6,26,0
249,206.49,496.38,31,1
250,51.66,323.51,85,0
251,106.87,393.84,48,0
252,27.01,101.71,89,0
253,295.97,162.64,62,0
254,265.63,447.75,45,1
255,370.83,393.12,89,1
256,120.56,193.39,83,0
257,213.31,56.51,23,0
258,307.97,207.49,43,0
259,313.11,35.72,36,0
260,128.3,269.57,57,0
261,293.84,388.81,75,1
262,187.57,386.94,63,1
263,366.94,237.77,41,1
264,479.92,198.95,67,1
265,325.69,152.54,29,0
266,437.92,487.45,34,1
267,361.54,323.51,82,1
268,313.94,330.85,67,1
269,194.07,317.16,28,0
270,349.41,363.34,70,1
271,468.31,187.29,94,1
272,235.05,487.43,80,1
273,97.5,204.72,93,0
274,372.68,212.31,75,1
275,278.71,196.21,50,0
276,72.42,53.26,73,0
277,213.76,183.51,47,0
278,114.61,37.01,75,0
279,135.1,60.97,30,0
280,395.38,101.98,90,1
281,150.77,116.5,26,0
282,162.68,189.77,27,0
283,366.36,63.53,25,0
284,168.74,429.91,20,1
285,361.45,112.98,80,0
286,83.58,328.47,33,0
287,100.94,326.19,73,0
288,287.01,208.75,84,1
289,344.92,365.53,88,1
290,290.26,200.25,67,0
291,12.5,70.59,89,0
292,339.68,444.49,71,1
293,224.52,18.55,42,0
294,269.88,21.66,21,0
295,218.24,187.16,20,0
296,441.42,425.1,93,1
297,363.43,173.14,22,0
298,34.78,346.83,57,0
299,428.5,283.92,55,1
300,388.21,33.48,48,0
301,215.67,496.13,26,1
302,228.56,185.62,74,0
303,419.66,237.75,62,1
304,210.89,177.24,76,0
305,17.51,97.6,50,0
306,182.5,400.39,52,1
307,278.7,457.73,29,1
308,453.72,148.04,69,1
309,238.89,471.78,58,1
310,31.26,145.24,22,0
311,489.55,38.46,45,0
312,296.97,42.28,33,0
313,470.28,415.32,63,1
314,50.26,443.49,64,0
315,419.01,479.83,91,1
316,231.69,43.05,84,0
317,204.17,396.56,41,1
318,432.8,430.31,24,1
319,223.57,323.87,49,1
320,16.51,148.03,77,0
321,439.92,106.61,66,1
322,232.33,164.29,58,0
323,373.79,196.07,86,1
324,161.82,47.37,91,0
325,481.87,252.97,27,1
326,392.92,372.41,67,1
327,302.7,350.55,36,1
328,202.09,444.63,75,1
329,417.3,129.86,93,1
330,188.68,105.33,79,0
331,117.96,35.71,21,0
332,45.65,488.74,90,1
333,213.62,229.74,89,0
334,164.12,393.53,34,1
335,43.8,369.17,71,0
336,305.7,452.86,30,1
337,364.98,217.64,44,1
338,58.05,461.84,48,0
339,392.19,322.85,59,1
340,28.17,236.52,48,0
341,399.4,468.14,66,1
342,394.03,327.72,30,1
343,449.94,254.08,33,1
344,478.33,466.67,61,1
345,295.43,225.15,76,1
346,389.99,165.79,94,1
347,444.08,444.18,50,1
348,377.71,24.87,44,0
349,121.38,308.4,47,0
350,363.55,333.13,85,1
351,326.41,174.71,82,1
352,485.52,103.67,48,1
353,56.7,431.01,71,0
354,296.47,125.68,39,0
355,383.11,28.35,33,0
356,194.57,451.84,91,1
357,365.46,151.93,27,0
358,30.24,310.51,78,0
359,62.62,69.89,37,0
360,304.93,218.43,63,1
361,335.69,280.36,46,1
362,420.67,476.48,28,1
363,50.69,308.38,85,0
364,81.64,313.67,55,0
365,151.64,260.67,69,0
366,396.67,289.11,59,1
367,44.91,172.14,64,0
368,401.52,153.98,72,1
369,478.63,177.18,43,1
370,469.24,29.26,33,0
371,328.35,107.77,80,0
372,453.26,321.99,83,1
373,225.0,184.57,65,0
374,314.82,445.89,51,1
375,350.45,26.62,40,0
376,244.52,78.26,26,0
377,448.4,329.28,90,1
378,290.67,352.52,48,1
379,396.37,284.49,30,1
380,104.92,145.27,80,0
381,167.38,430.42,59,1
382,473.05,397.17,35,1
383,436.5,345.71,32,1
384,242.14,436.61,53,1
385,47.23,37.95,92,0
386,261.16,361.09,86,1
387,334.91,483.17,46,1
388,202.74,253.12,60,0
389,328.58,49.07,57,0
390,48.11,307.22,58,0
391,15.79,227.3,87,0
392,468.05,185.93,89,1
393,385.7,302.36,47,1
394,85.11,138.45,62,0
395,87.54,398.5,75,0
396,201.19,317.18,47,0
397,347.94,439.34,28,1
398,80.02,75.51,94,0
399,21.84,379.33,65,0
400,459.52,476.98,40,1
401,467.23,292.71,21,1
402,178.14,112.54,66,0
403,209.88,272.54,55,0
404,276.14,174.14,20,0
405,495.28,366.73,75,1
406,459.57,346.92,20,1
407,269.22,467.75,74,1
408,193.72,382.35,54,1
409,69.7,468.11,66,1
410,111.65,471.75,90,1
411,120.15,185.55,41,0
412,380.09,342.7,60,1
413,391.71,497.28,57,1
414,463.76,98.65,69,1
415,284.05,46.9,75,0
416,490.72,393.07,57,1
417,317.58,265.49,38,1
418,16.38,339.29,75,0
419,323.64,118.92,75,0
420,105.14,141.96,47,0
421,424.97,30.63,28,0
422,151.08,407.9,94,1
423,451.08,215.04,76,1
424,384.7,368.63,70,1
425,333.65,57.84,79,0
426,105.39,455.3,72,1
427,222.7,198.49,21,0
428,495.18,322.47,25,1
429,395.86,284.58,54,1
430,303.0,457.2,36,1
431,59.77,236.31,46,0
432,488.04,256.32,48,1
433,275.97,104.86,92,0
434,313.83,202.0,74,1
435,106.56,171.72,23,0
436,31.24,220.06,89,0
437,186.17,258.44,78,0
438,433.58,486.96,55,1
439,41.53,307.74,94,0
440,45.85,151.97,58,0
441,386.0,175.98,23,1
442,259.25,57.23,63,0
443,406.19,104.89,54,0
444,293.6,480.05,85,1
445,197.27,293.66,33,0
446,375.33,189.45,85,1
447,177.66,143.38,49,0
448,259.19,28.03,50,0
449,333.76,130.25,20,0
450,492.63,391.17,82,1
451,341.88,255.98,61,1
452,431.78,268.01,68,1
453,307.66,51.39,70,0
454,160.95,135.78,59,0
455,143.37,284.56,35,0
456,351.69,169.78,23,0
457,299.69,163.21,43,0
458,135.13,379.21,71,1
459,449.86,162.9,84,1
460,47.02,81.3,85,0
461,96.77,320.41,60,0
462,186.52,428.03,48,1
463,492.08,311.72,24,1
464,151.36,298.25,26,0
465,479.35,289.05,28,1
466,497.71,110.07,47,1
467,418.69,246.75,65,1
468,180.59,417.34,38,1
469,246.12,412.44,43,1
470,121.72,385.23,59,0
471,188.27,250.62,55,0
472,163.85,398.24,57,1
473,290.71,449.54,76,1
474,46.95,60.32,61,0
475,452.05,479.02,72,1
476,74.56,112.77,26,0
477,205.32,305.61,40,0
478,332.46,245.37,73,1
479,442.2,288.62,30,1
480,201.31,255.82,85,0
481,474.49,171.79,85,1
482,191.02,124.58,45,0
483,413.48,68.18,25,0
484,387.48,104.73,46,0
485,422.21,370.55,39,1
486,278.67,231.93,32,0
487,26.75,91.73,41,0
488,413.04,379.21,27,1
489,452.77,118.65,38,1
490,89.04,127.3,33,0
491,439.87,38.43,64,0
492,207.58,478.25,84,1
493,325.28,106.72,63,0
494,317.21,19.52,54,0
495,425.26,168.17,60,1
496,413.14,110.45,92,1
497,244.34,16.75,41,0
498,223.86,53.09,37,0
499,147.47,192.8,44,0
500,329.79,260.58,62,1
501,456.4,332.49,79,1
502,364.01,300.59,42,1
503,244.16,467.1,51,1
504,209.34,125.55,89,0
505,245.87,54.57,28,0
506,311.12,279.65,49,1
507,107.91,406.63,22,0
508,133.85,253.06,40,0
509,135.11,203.4,46,0
510,113.92,224.0,60,0
511,391.31,266.71,88,1
512,449.43,364.9,42,1
513,234.34,478.39,81,1
514,43.63,331.68,42,0
515,104.61,196.32,28,0
516,474.03,306.23,38,1
517,59.62,265.98,53,0
518,448.47,259.44,40,1
519,151.96,155.02,20,0
520,154.47,212.43,20,0
521,178.93,334.93,59,0
522,377.65,121.14,66,0
523,439.8,33.48,64,0
524,463.47,106.75,80,1
525,170.19,439.16,49,1
526,116.16,135.93,77,0
527,231.92,245.94,73,0
528,10.55,133.25,81,0
529,363.05,206.74,31,1
530,212.52,487.96,26,1
531,340.84,75.19,78,0
532,421.63,198.94,93,1
533,335.08,60.39,75,0
534,42.52,374.1,60,0
535,140.72,112.59,47,0
536,202.49,424.84,44,1
537,439.04,64.81,63,0
538,137.64,244.11,58,0
539,473.28,441.19,83,1
540,58.29,66.01,29,0
541,161.59,247.56,29,0
542,369.07,210.68,71,1
543,360.93,365.08,74,1
544,307.01,95.84,44,0
545,183.73,393.34,68,1
546,310.77,27.75,94,0
547,359.35,256.59,65,1
548,16.62,324.14,83,0
549,124.47,81.65,89,0
550,490.4,163.15,64,1
551,113.4,389.78,71,0
552,202.12,351.92,61,1
553,305.25,484.81,46,1
554,377.15,275.9,65,1
555,200.08,476.47,66,1
556,119.64,395.11,20,0
557,335.2,428.13,84,1
558,490.24,391.14,82,1
559,239.41,276.15,62,1
560,264.64,377.04,93,1
561,477.53,214.28,73,1
562,287.97,392.07,63,1
563,304.64,340.34,71,1
564,490.91,221.44,34,1
565,254.23,122.61,47,0
566,479.75,12.91,86,1
567,125.25,33.98,80,0
568,475.18,490.67,28,1
569,274.73,39.44,72,0
570,412.33,247.93,89,1
571,479.21,332.09,73,1
572,93.37,148.24,89,0
573,497.98,151.35,73,1
574,339.44,68.51,82,0
575,47.25,366.1,56,0
576,104.68,427.22,21,0
577,189.25,472.06,77,1
578,442.26,305.16,73,1
579,145.86,296.64,20,0
580,168.93,111.83,27,0
581,144.79,177.25,33,0
582,491.69,13.19,91,1
583,338.05,241.12,81,1
584,72.27,344.22,38,0
585,25.96,75.04,32,0
586,137.19,340.91,32,0
587,245.96,44.88,29,0
588,454.17,337.83,86,1
589,257.25,99.81,26,0
