Project_ID,Manager_Experience,Team_Size,Budget_kUSD,Duration_days,Domain,Priority,Risk_Score,Status
P0001,7,9,776.57,140,Marketing,High,40.89,At Risk
P0002,20,20,216.1,131,HR,Low,39.99,At Risk
P0003,15,4,527.44,46,Operations,Medium,32.65,On Schedule
P0004,11,19,428.73,297,HR,Low,68.65,Delayed
P0005,8,13,189.06,211,IT,Low,49.73,At Risk
P0006,7,14,399.16,53,Marketing,Low,47.8,At Risk
P0007,19,9,114.76,58,IT,Medium,20.44,On Schedule
P0008,11,8,74.52,200,IT,High,22.03,On Schedule
P0009,11,3,178.41,257,Finance,Medium,43.28,At Risk
P0010,4,19,964.96,217,Marketing,High,59.49,At Risk
P0011,8,13,572.05,259,IT,Low,66.95,Delayed
P0012,3,20,967.53,350,Operations,Low,100.0,Delayed
P0013,2,19,460.87,148,IT,Low,69.59,Delayed
P0014,12,9,346.23,185,Operations,Low,51.06,At Risk
P0015,6,19,530.83,301,Finance,Low,79.2,Delayed
P0016,2,11,467.54,204,IT,High,50.01,At Risk
P0017,1,19,150.38,133,HR,High,37.89,At Risk
P0018,12,10,658.78,121,Finance,Low,53.12,At Risk
P0019,12,19,255.24,215,Operations,Medium,47.34,At Risk
P0020,17,9,638.61,312,Finance,Medium,63.99,At Risk
P0021,10,3,667.69,210,IT,Low,49.89,At Risk
P0022,16,15,194.42,199,Marketing,High,30.01,On Schedule
P0023,15,19,108.28,216,Marketing,Medium,32.1,On Schedule
P0024,15,15,791.72,204,Operations,Medium,58.87,At Risk
P0025,19,18,486.81,251,Operations,Medium,52.75,At Risk
P0026,12,10,105.26,262,Marketing,Low,49.72,At Risk
P0027,20,20,995.12,191,Operations,Medium,59.02,At Risk
P0028,3,3,104.89,163,Finance,Medium,32.08,On Schedule
P0029,5,16,710.28,253,HR,Medium,64.48,At Risk
P0030,19,17,984.49,182,HR,Medium,62.46,At Risk
P0031,7,20,277.22,62,Finance,High,34.18,At Risk
P0032,9,4,185.14,84,HR,Low,19.14,On Schedule
P0033,7,19,165.32,36,IT,Low,45.14,At Risk
P0034,18,20,338.11,273,Finance,High,50.1,At Risk
P0035,4,8,145.99,342,Operations,High,39.64,At Risk
P0036,14,6,707.55,155,Finance,Low,57.33,At Risk
P0037,18,3,109.18,41,Marketing,Medium,0.0,On Schedule
P0038,9,10,533.95,45,Operations,Medium,37.14,At Risk
P0039,2,9,996.86,237,Marketing,Low,76.5,Delayed
P0040,20,5,823.27,72,Operations,Medium,27.55,On Schedule
P0041,15,12,634.46,164,HR,High,34.99,At Risk
P0042,7,12,340.94,257,Finance,Medium,60.61,At Risk
P0043,12,16,642.7,140,IT,Medium,51.8,At Risk
P0044,8,4,550.69,336,Operations,Medium,52.45,At Risk
P0045,15,3,454.78,189,Operations,Low,49.39,At Risk
P0046,3,20,174.17,360,Marketing,High,56.1,At Risk
P0047,14,9,892.27,293,HR,Medium,49.71,At Risk
P0048,17,10,477.3,254,Marketing,Low,51.46,At Risk
P0049,4,3,234.89,246,Marketing,Medium,34.06,At Risk
P0050,18,5,399.37,74,HR,High,11.8,On Schedule
P0051,8,10,443.42,243,IT,Medium,54.17,At Risk
P0052,4,17,836.16,88,Marketing,High,43.96,At Risk
P0053,2,7,746.93,161,Marketing,Medium,42.73,At Risk
P0054,6,5,780.84,133,Operations,High,46.85,At Risk
P0055,10,3,60.48,224,HR,Medium,32.23,On Schedule
P0056,4,17,445.35,186,Finance,High,51.51,At Risk
P0057,18,10,507.28,127,IT,Medium,37.16,At Risk
P0058,12,4,68.23,255,IT,Medium,29.13,On Schedule
P0059,2,5,296.82,234,HR,Low,52.81,At Risk
P0060,10,16,772.28,108,Operations,Low,62.39,At Risk
P0061,4,16,180.25,153,Operations,High,37.05,At Risk
P0062,14,13,558.54,247,HR,Medium,50.68,At Risk
P0063,16,18,254.44,33,Operations,High,17.09,On Schedule
P0064,15,6,61.51,119,IT,Low,26.88,On Schedule
P0065,8,7,279.14,133,IT,High,26.46,On Schedule
P0066,14,16,977.08,148,Finance,High,61.32,At Risk
P0067,8,18,811.46,162,HR,Low,63.61,At Risk
P0068,16,20,961.6,341,Marketing,Medium,72.39,Delayed
P0069,13,9,513.46,125,Marketing,High,26.77,On Schedule
P0070,18,12,154.25,360,Finance,Low,48.75,At Risk
P0071,15,9,570.56,172,Finance,Medium,46.5,At Risk
P0072,13,3,481.66,317,Operations,Low,59.09,At Risk
P0073,9,18,852.14,57,Finance,High,52.04,At Risk
P0074,15,6,143.18,307,Finance,Medium,40.07,At Risk
P0075,13,20,513.83,262,Marketing,Medium,55.94,At Risk
P0076,1,4,192.55,46,Operations,Low,39.07,At Risk
P0077,7,3,358.44,88,Finance,Low,34.94,At Risk
P0078,9,17,750.49,119,Finance,Low,68.62,Delayed
P0079,1,7,502.22,228,Operations,Medium,53.72,At Risk
P0080,12,13,407.09,55,HR,Medium,28.89,On Schedule
P0081,8,12,424.75,54,Operations,High,40.52,At Risk
P0082,11,4,486.47,330,Marketing,Medium,49.98,At Risk
P0083,19,5,795.77,296,HR,High,33.1,At Risk
P0084,17,14,897.48,210,IT,Low,65.7,At Risk
P0085,8,7,957.57,97,Operations,Low,66.2,Delayed
P0086,3,7,797.56,350,Marketing,Medium,58.49,At Risk
P0087,3,8,349.64,78,HR,Low,44.23,At Risk
P0088,1,11,703.73,204,Operations,Low,72.21,Delayed
P0089,5,4,465.72,81,Finance,Medium,33.31,At Risk
P0090,10,14,291.94,131,Operations,High,33.96,At Risk
P0091,7,5,848.83,245,IT,Medium,61.7,At Risk
P0092,9,14,86.51,217,Operations,High,40.79,At Risk
P0093,7,19,906.67,86,HR,Medium,57.58,At Risk
P0094,9,12,488.4,76,HR,Medium,48.32,At Risk
P0095,8,16,655.34,188,Operations,Low,58.93,At Risk
P0096,12,19,676.39,203,HR,Medium,58.41,At Risk
P0097,2,20,900.36,271,Finance,Medium,78.33,Delayed
P0098,1,19,654.84,311,Operations,High,69.86,Delayed
P0099,16,16,633.24,270,Finance,Low,66.63,Delayed
P0100,5,11,113.32,34,Finance,High,26.21,On Schedule
P0101,3,10,542.49,113,Marketing,High,33.48,At Risk
P0102,12,4,192.66,337,Operations,Low,47.29,At Risk
P0103,8,15,750.56,277,HR,Low,69.56,Delayed
P0104,3,9,536.61,83,Finance,Low,64.83,At Risk
P0105,1,11,696.22,190,Marketing,Medium,57.6,At Risk
P0106,3,13,89.59,255,Operations,Low,51.68,At Risk
P0107,5,16,130.55,44,Operations,Low,47.43,At Risk
P0108,15,6,730.51,253,IT,Low,55.8,At Risk
P0109,14,15,118.48,90,IT,High,20.07,On Schedule
P0110,3,4,117.69,151,Finance,High,31.44,On Schedule
P0111,1,7,61.5,306,IT,Medium,52.67,At Risk
P0112,5,13,958.68,75,Finance,High,48.64,At Risk
P0113,14,8,750.63,323,HR,Medium,55.05,At Risk
P0114,7,20,385.59,91,Finance,High,40.86,At Risk
P0115,9,12,331.71,115,IT,Low,49.19,At Risk
P0116,15,6,382.22,239,HR,High,26.0,On Schedule
P0117,15,11,785.92,107,IT,Medium,43.42,At Risk
P0118,10,8,678.3,231,Finance,High,45.96,At Risk
P0119,13,4,225.94,331,Marketing,Low,43.88,At Risk
P0120,19,19,215.4,252,Operations,Medium,52.51,At Risk
P0121,7,7,143.48,251,IT,Low,59.06,At Risk
P0122,17,8,677.29,32,Finance,Low,44.24,At Risk
P0123,20,14,776.15,35,HR,Medium,33.79,At Risk
P0124,4,12,301.79,122,IT,Low,43.99,At Risk
P0125,5,8,69.9,37,IT,Low,29.7,On Schedule
P0126,7,10,128.06,264,Operations,High,36.25,At Risk
P0127,13,4,969.47,137,Finance,Low,55.21,At Risk
P0128,15,14,330.67,190,Marketing,Low,42.0,At Risk
P0129,11,15,780.76,238,HR,Low,74.73,Delayed
P0130,4,9,643.43,269,Finance,Low,73.01,Delayed
P0131,13,12,412.84,360,HR,Medium,54.3,At Risk
P0132,7,15,245.4,362,IT,High,48.04,At Risk
P0133,19,19,165.32,79,Operations,Low,44.11,At Risk
P0134,2,16,634.26,40,Operations,Low,60.33,At Risk
P0135,10,4,785.9,185,Marketing,Medium,40.19,At Risk
P0136,13,13,661.71,99,Operations,Low,46.67,At Risk
P0137,6,3,553.79,198,IT,Medium,43.78,At Risk
P0138,12,6,89.85,301,Marketing,High,21.56,On Schedule
P0139,12,13,970.06,97,Finance,High,55.28,At Risk
P0140,20,10,808.78,281,Operations,Low,70.17,Delayed
P0141,11,13,328.18,77,Marketing,Low,33.11,At Risk
P0142,7,6,980.97,213,IT,Low,62.83,At Risk
P0143,1,19,621.79,349,HR,Medium,75.5,Delayed
P0144,1,9,603.3,216,HR,Low,60.83,At Risk
P0145,20,10,760.67,119,IT,Low,47.55,At Risk
P0146,13,5,821.18,361,IT,High,49.58,At Risk
P0147,9,4,673.65,168,HR,Low,51.42,At Risk
P0148,3,17,171.69,118,Marketing,High,35.79,At Risk
P0149,7,7,371.35,303,HR,Low,52.66,At Risk
P0150,6,3,931.68,48,IT,High,38.42,At Risk
P0151,8,6,263.38,340,Operations,Low,55.55,At Risk
P0152,9,17,403.56,183,Finance,High,55.25,At Risk
P0153,5,5,460.47,289,Operations,Medium,60.22,At Risk
P0154,1,13,467.43,137,Operations,High,44.27,At Risk
